userid;answerid;scenario;intent;status;answer_annotation;notes;suggested_entities;answer_normalised;answer;question
1005;27126;general;joke;null;be funny for me;null;joke_type;be funny for me;Olly, be funny for me.;How would you ask for a joke
1006;27193;general;joke;null;find jokes on the web;null;joke_type;find jokes on the web;Find jokes on the web;How would you ask for a joke
1006;27195;general;joke;null;find [joke_type : funny] jokes;null;joke_type;find funny jokes;Find funny jokes;How would you ask for a joke
52;2443;general;greet;null;who are you;null;NULL;who are you;who are you;How would you ask your PDA if you have new emails?
85;3321;general;greet;null;good day;null;NULL;good day;good day;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
748;19304;general;joke;null;[joke_type : sarcastic] jokes;null;NULL;sarcastic jokes;Sarcastic jokes;Type top 3 topics you would be keen to have a small talk with your PDA?
830;21274;general;joke;null;tell me jokes;null;NULL;tell me jokes;tell me jokes;Type top 3 topics you would be keen to have a small talk with your PDA?
917;23213;general;joke;null;jokes;null;NULL;jokes;Jokes;Type top 3 topics you would be keen to have a small talk with your PDA?
955;25116;general;joke;null;joke of the day;null;NULL;joke of the day;joke of the day;Type top 3 topics you would be keen to have a small talk with your PDA?5431 at 3:21 on Friday.;How would you ask your PDA to book a taxi for you?
332;9244;general;greet;null;how was the day;null;NULL;how was the day;How was the day;Type any question you can think of, which you would like your PDA was able to answer or do for you, if it could do everything!
438;17680;general;joke;null;what's the famous monty python joke about the bird;null;location, person;what's the famous monty python joke about the bird;What's the famous Monty Python joke about the bird?;How would you ask your PDA a general knowledge question?
;1;general;negate;;i think you have done it all wrong.;;;;i think you have done it all wrong.;
;2;general;negate;;i think you messed up with the request.;;;;i think you messed up with the request.;
;3;general;negate;;i am sorry but you had it wrong.;;;;i am sorry but you had it wrong.;
;4;general;negate;;your command was incorrect.;;;;your command was incorrect.;
;5;general;negate;;you are not correct.;;;;you are not correct.;
;6;general;negate;;please correct that command.;;;;please correct that command.;
;7;general;negate;;shit, i think not right.;;;;shit, i think not right.;
;8;general;negate;;uh no, i think incorrect command.;;;;uh no, i think incorrect command.;
;9;general;negate;;you don't understand it right.;;;;you don't understand it right.;
;10;general;negate;;no, i did not ask for this response.;;;;no, i did not ask for this response.;
;11;general;negate;;shit, i didn't ask for this.;;;;shit, i didn't ask for this.;
;12;general;negate;;it was not the right answer.;;;;it was not the right answer.;
;13;general;negate;;oops, i think you have understood me wrongly.;;;;oops, i think you have understood me wrongly.;
;14;general;negate;;sorry but you have messed up.;;;;sorry but you have messed up.;
;15;general;negate;;uh no, i did not ask for that command.;;;;uh no, i did not ask for that command.;
;16;general;negate;;you did it all in wrong manner.;;;;you did it all in wrong manner.;
;17;general;negate;;i think olly's command was wrong.;;;;i think olly's command was wrong.;
;18;general;negate;;your answer was not what i was looking for.;;;;your answer was not what i was looking for.;
;19;general;negate;;shit, i think you did that in wrong manner.;;;;shit, i think you did that in wrong manner.;
;20;general;negate;;please fix the wrong command.;;;;please fix the wrong command.;
;21;general;negate;;oops, i think that was not the right command.;;;;oops, i think that was not the right command.;
;22;general;negate;;sorry i did not mean to say that.;;;;sorry i did not mean to say that.;
;23;general;negate;;i am sorry but this was not the correct command.;;;;i am sorry but this was not the correct command.;
;24;general;negate;;sorry but i think it's not correct.;;;;sorry but i think it's not correct.;
;25;general;negate;;wait, i think that's not the correct command.;;;;wait, i think that's not the correct command.;
;26;general;negate;;sorry but it is not correct.;;;;sorry but it is not correct.;
;27;general;negate;;thanks but i think that is not the correct response.;;;;thanks but i think that is not the correct response.;
;28;general;negate;;sorry but that's not the correct response.;;;;sorry but that's not the correct response.;
;29;general;negate;;stop, that is not the right response.;;;;stop, that is not the right response.;
;30;general;negate;;seems like the answer was not correct.;;;;seems like the answer was not correct.;
;31;general;negate;;you do not understand what i just said.;;;;you do not understand what i just said.;
;32;general;negate;;i think you have understood that not correct.;;;;i think you have understood that not correct.;
;33;general;negate;;thanks but you're wrong.;;;;thanks but you're wrong.;
;34;general;negate;;that is not the right location.;;;;that is not the right location.;
;35;general;negate;;shit, that isn't what i was looking for.;;;;shit, that isn't what i was looking for.;
;36;general;negate;;hmm, that isn't what i am searching for.;;;;hmm, that isn't what i am searching for.;
;37;general;negate;;you gave me incorrect information.;;;;you gave me incorrect information.;
;38;general;negate;;please change the wrong command.;;;;please change the wrong command.;
;39;general;negate;;uhh no, i think not right response.;;;;uhh no, i think not right response.;
;40;general;negate;;thanks but you didn't get me.;;;;thanks but you didn't get me.;
;41;general;negate;;thanks but you don't instruction the request correctly.;;;;thanks but you don't instruction the request correctly.;
;42;general;negate;;dammit, i think you did this all in wrong manner.;;;;dammit, i think you did this all in wrong manner.;
;43;general;negate;;oops, i think this was not the right response.;;;;oops, i think this was not the right response.;
;44;general;negate;;uh no, i did not ask for it command.;;;;uh no, i did not ask for it command.;
;45;general;negate;;i think not right response.;;;;i think not right response.;
;46;general;negate;;i think that's not the correct command.;;;;i think that's not the correct command.;
;47;general;negate;;that's not what i was looking for.;;;;that's not what i was looking for.;
;48;general;negate;;please make sure your command was correct because it doesn't sound right.;;;;please make sure your command was correct because it doesn't sound right.;
;49;general;negate;;wait, it is not the right command.;;;;wait, it is not the right command.;
;50;general;negate;;uhh no, you didn't understand what i meant.;;;;uhh no, you didn't understand what i meant.;
;51;general;negate;;you did not find the right address.;;;;you did not find the right address.;
;52;general;negate;;uhh no, i think that is not correct.;;;;uhh no, i think that is not correct.;
;53;general;negate;;i am sorry but you have messed up with my request.;;;;i am sorry but you have messed up with my request.;
;54;general;negate;;that wasn't correct.;;;;that wasn't correct.;
;55;general;negate;;thanks but i think you didn't understand command correctly.;;;;thanks but i think you didn't understand command correctly.;
;56;general;negate;;it's not what i just requested.;;;;it's not what i just requested.;
;57;general;negate;;no, this is not what i am looking for.;;;;no, this is not what i am looking for.;
;58;general;negate;;stop, you didn't instruction the request right.;;;;stop, you didn't instruction the request right.;
;59;general;negate;;thanks but i think that's not the right command.;;;;thanks but i think that's not the right command.;
;60;general;negate;;oops, you have messed up.;;;;oops, you have messed up.;
;61;general;negate;;shit, it's not what i just requested.;;;;shit, it's not what i just requested.;
;62;general;negate;;thanks but i think you did not get the answer correctly.;;;;thanks but i think you did not get the answer correctly.;
;63;general;negate;;uh no, you've done task in wrong manner.;;;;uh no, you've done task in wrong manner.;
;64;general;negate;;thanks but that's not the right answer.;;;;thanks but that's not the right answer.;
;65;general;negate;;uhh no, you've done that all wrong.;;;;uhh no, you've done that all wrong.;
;66;general;negate;;nope, you gave me wrong information.;;;;nope, you gave me wrong information.;
;67;general;negate;;thanks but it was not the right answer.;;;;thanks but it was not the right answer.;
;68;general;negate;;stop, you've understood me not right.;;;;stop, you've understood me not right.;
;69;general;negate;;shit, you have done a task all in wrong manner.;;;;shit, you have done a task all in wrong manner.;
;70;general;negate;;that must be some mistakes.;;;;that must be some mistakes.;
;71;general;negate;;no, i think you've done a task all in wrong manner.;;;;no, i think you've done a task all in wrong manner.;
;72;general;negate;;you have that incorrectly.;;;;you have that incorrectly.;
;73;general;negate;;sorry but you didn't get the answer correctly.;;;;sorry but you didn't get the answer correctly.;
;74;general;negate;;hmm, i did not say this.;;;;hmm, i did not say this.;
;75;general;negate;;oops, you're not correct.;;;;oops, you're not correct.;
;76;general;negate;;stop, that's not the correct answer.;;;;stop, that's not the correct answer.;
;77;general;negate;;i think this is not the right command.;;;;i think this is not the right command.;
;78;general;negate;;that must be mistakes.;;;;that must be mistakes.;
;79;general;negate;;hmm, i didn't ask for that.;;;;hmm, i didn't ask for that.;
;80;general;negate;;that was not what i wanted.;;;;that was not what i wanted.;
;81;general;negate;;stop, i think that's not the correct response.;;;;stop, i think that's not the correct response.;
;82;general;negate;;you did this all in wrong manner.;;;;you did this all in wrong manner.;
;83;general;negate;;i think you made mistake, please change this.;;;;i think you made mistake, please change this.;
;84;general;negate;;uhh no, i did not say that.;;;;uhh no, i did not say that.;
;85;general;negate;;please check the wrong command.;;;;please check the wrong command.;
;86;general;negate;;you did the task all wrongly.;;;;you did the task all wrongly.;
;87;general;negate;;i am sorry but it is not the correct command.;;;;i am sorry but it is not the correct command.;
;88;general;negate;;uh no, i didn't say this.;;;;uh no, i didn't say this.;
;89;general;negate;;uh no, it is incorrect answer.;;;;uh no, it is incorrect answer.;
;90;general;negate;;shit, you gave me wrong information.;;;;shit, you gave me wrong information.;
;91;general;negate;;dammit, that's not what i just requested.;;;;dammit, that's not what i just requested.;
;92;general;negate;;i am sorry but i think you've gottten it not right.;;;;i am sorry but i think you've gottten it not right.;
;93;general;negate;;thanks but i think you got me not correct.;;;;thanks but i think you got me not correct.;
;94;general;negate;;thanks but it is not the right response.;;;;thanks but it is not the right response.;
;95;general;negate;;i think your response was not correct.;;;;i think your response was not correct.;
;96;general;negate;;you made a wrong answer.;;;;you made a wrong answer.;
;97;general;negate;;please correct your mistakes.;;;;please correct your mistakes.;
;98;general;negate;;uhh no, incorrect command.;;;;uhh no, incorrect command.;
;99;general;negate;;oh no, you gave me not right information.;;;;oh no, you gave me not right information.;
;100;general;negate;;stop, this is not right answer.;;;;stop, this is not right answer.;
;101;general;negate;;sorry but i think you made mistake.;;;;sorry but i think you made mistake.;
;102;general;negate;;thanks but i think this was not the right answer.;;;;thanks but i think this was not the right answer.;
;103;general;negate;;i think not correct response.;;;;i think not correct response.;
;104;general;negate;;i am sorry but i think you had that incorrect.;;;;i am sorry but i think you had that incorrect.;
;105;general;negate;;it must be some mistake.;;;;it must be some mistake.;
;106;general;negate;;goddammit.;;;;goddammit.;
;107;general;negate;;it's not the right response.;;;;it's not the right response.;
;108;general;negate;;oh no, i think you did the task all wrong.;;;;oh no, i think you did the task all wrong.;
;109;general;negate;;thanks but you had it not right.;;;;thanks but you had it not right.;
;110;general;negate;;sorry but you messed up.;;;;sorry but you messed up.;
;111;general;negate;;sorry but i think that's not correct.;;;;sorry but i think that's not correct.;
;112;general;negate;;nope, i didn't say this.;;;;nope, i didn't say this.;
;113;general;negate;;thanks but that is not the right answer.;;;;thanks but that is not the right answer.;
;114;general;negate;;please correct the command.;;;;please correct the command.;
;115;general;negate;;this is not what i requested.;;;;this is not what i requested.;
;116;general;negate;;oh no, i did not ask for that.;;;;oh no, i did not ask for that.;
;117;general;negate;;shit, that's not what i was looking for.;;;;shit, that's not what i was looking for.;
;118;general;negate;;i think you did a task all wrong.;;;;i think you did a task all wrong.;
;119;general;negate;;dammit, it isn't what i meant.;;;;dammit, it isn't what i meant.;
;120;general;negate;;i think you had this wrong.;;;;i think you had this wrong.;
;121;general;negate;;that was not what i asked for.;;;;that was not what i asked for.;
;122;general;negate;;thanks but i think you are wrong.;;;;thanks but i think you are wrong.;
;123;general;negate;;i meant this.;;;;i meant this.;
;124;general;negate;;i am sorry but i think you have messed up with command.;;;;i am sorry but i think you have messed up with command.;
;125;general;negate;;i think you did not get this correctly.;;;;i think you did not get this correctly.;
;126;general;negate;;listen carefully that is not correct.;;;;listen carefully that is not correct.;
;127;general;negate;;i think this was not the correct answer.;;;;i think this was not the correct answer.;
;128;general;negate;;olly's response was wrong.;;;;olly's response was wrong.;
;129;general;negate;;i think that's not the correct answer.;;;;i think that's not the correct answer.;
;130;general;negate;;uhh no, i think incorrect answer.;;;;uhh no, i think incorrect answer.;
;131;general;negate;;nope, you gave me incorrect information.;;;;nope, you gave me incorrect information.;
;132;general;negate;;sorry but i think you didn't get response correctly.;;;;sorry but i think you didn't get response correctly.;
;133;general;negate;;you have done the task wrong.;;;;you have done the task wrong.;
;134;general;negate;;thanks but i think you did not get response correctly.;;;;thanks but i think you did not get response correctly.;
;135;general;negate;;uhh no, you gave me not right information.;;;;uhh no, you gave me not right information.;
;136;general;negate;;that was not what i was looking for.;;;;that was not what i was looking for.;
;137;general;negate;;hmm, you didn't understand what i requested.;;;;hmm, you didn't understand what i requested.;
;138;general;negate;;that wasn't right.;;;;that wasn't right.;
;139;general;negate;;i think not correct command.;;;;i think not correct command.;
;140;general;negate;;thanks but i think you're not right.;;;;thanks but i think you're not right.;
;141;general;negate;;shit, not correct.;;;;shit, not correct.;
;142;general;negate;;sorry but i think you did not instruction the request right.;;;;sorry but i think you did not instruction the request right.;
;143;general;negate;;i think you have done the task all wrong.;;;;i think you have done the task all wrong.;
;144;general;negate;;that's not what i meant.;;;;that's not what i meant.;
;145;general;negate;;i think incorrect command.;;;;i think incorrect command.;
;146;general;negate;;shit, i think you have done a task all in wrong manner.;;;;shit, i think you have done a task all in wrong manner.;
;147;general;negate;;that is not what i told you to do.;;;;that is not what i told you to do.;
;148;general;negate;;i think olly's answer is not right.;;;;i think olly's answer is not right.;
;149;general;negate;;that's not what i just said.;;;;that's not what i just said.;
;150;general;negate;;sorry but that was not the right command.;;;;sorry but that was not the right command.;
;151;general;negate;;hmm, you've done this all in wrong manner.;;;;hmm, you've done this all in wrong manner.;
;152;general;negate;;i am sorry but i think that is not correct.;;;;i am sorry but i think that is not correct.;
;153;general;negate;;you have made some mistake.;;;;you have made some mistake.;
;154;general;negate;;no.;;;;no.;
;155;general;negate;;oh my god why did you do that.;;;;oh my god why did you do that.;
;156;general;negate;;uhh no, i think it was incorrect response.;;;;uhh no, i think it was incorrect response.;
;157;general;negate;;thanks but it is not correct command.;;;;thanks but it is not correct command.;
;158;general;negate;;sorry but that's not the correct answer.;;;;sorry but that's not the correct answer.;
;159;general;negate;;you did it wrong.;;;;you did it wrong.;
;160;general;negate;;dammit, you've done it wrong.;;;;dammit, you've done it wrong.;
;161;general;negate;;please change the command.;;;;please change the command.;
;162;general;negate;;thanks but i think you messed up with.;;;;thanks but i think you messed up with.;
;163;general;negate;;i am sorry but i think it was not the right response.;;;;i am sorry but i think it was not the right response.;
;164;general;negate;;thanks but i think you do not get me.;;;;thanks but i think you do not get me.;
;165;general;negate;;wait, you've understood me not right.;;;;wait, you've understood me not right.;
;166;general;negate;;nope, i think that's not the right answer.;;;;nope, i think that's not the right answer.;
;167;general;negate;;i think you messed up my command.;;;;i think you messed up my command.;
;168;general;negate;;you did the task wrong.;;;;you did the task wrong.;
;169;general;negate;;i think this was not correct.;;;;i think this was not correct.;
;170;general;negate;;uhh no, that isn't what i just said.;;;;uhh no, that isn't what i just said.;
;171;general;negate;;uh no, thanks.;;;;uh no, thanks.;
;172;general;negate;;i think you've understood me wrongly.;;;;i think you've understood me wrongly.;
;173;general;negate;;oops, i think you do not understand me.;;;;oops, i think you do not understand me.;
;174;general;negate;;olly that's not how you pronounce that.;;;;olly that's not how you pronounce that.;
;175;general;negate;;thanks but you have got it incorrect.;;;;thanks but you have got it incorrect.;
;176;general;negate;;it is not what i wanted.;;;;it is not what i wanted.;
;177;general;negate;;shit, i think you did a task all wrong.;;;;shit, i think you did a task all wrong.;
;178;general;negate;;i did not ask for it.;;;;i did not ask for it.;
;179;general;negate;;i am sorry but i think you did some mistakes.;;;;i am sorry but i think you did some mistakes.;
;180;general;negate;;wait, i think it's not the correct answer.;;;;wait, i think it's not the correct answer.;
;181;general;negate;;uh no, i think you have done task in wrong manner.;;;;uh no, i think you have done task in wrong manner.;
;182;general;negate;;nope, you gave me not correct information.;;;;nope, you gave me not correct information.;
;183;general;negate;;that's not what i wanted to see.;;;;that's not what i wanted to see.;
;184;general;negate;;sorry but this is wrong.;;;;sorry but this is wrong.;
;185;general;negate;;i think olly's response is not right.;;;;i think olly's response is not right.;
;186;general;negate;;what you are telling is no more applicable.;;;;what you are telling is no more applicable.;
;187;general;negate;;sorry but i think this was not the correct command.;;;;sorry but i think this was not the correct command.;
;188;general;negate;;i think you messed up with my command.;;;;i think you messed up with my command.;
;189;general;negate;;seems like olly's command was incorrect.;;;;seems like olly's command was incorrect.;
;190;general;negate;;i am sorry but you have that not right.;;;;i am sorry but you have that not right.;
;191;general;negate;;no, i think you did not get this right.;;;;no, i think you did not get this right.;
;192;general;negate;;sorry but that was not the correct command.;;;;sorry but that was not the correct command.;
;193;general;negate;;nope, i think you had it not correct.;;;;nope, i think you had it not correct.;
;194;general;negate;;it is not the right command.;;;;it is not the right command.;
;195;general;negate;;sorry but i think you messed up.;;;;sorry but i think you messed up.;
;196;general;negate;;sorry but i think that's not the correct answer.;;;;sorry but i think that's not the correct answer.;
;197;general;negate;;it is not what i requested.;;;;it is not what i requested.;
;198;general;negate;;thanks but i think you made some mistakes.;;;;thanks but i think you made some mistakes.;
;199;general;negate;;uhh no, thanks.;;;;uhh no, thanks.;
;200;general;negate;;shit, you don't get what i just said.;;;;shit, you don't get what i just said.;
;201;general;negate;;uh no, i think not right response.;;;;uh no, i think not right response.;
;202;general;negate;;oops, you have understood me incorrectly.;;;;oops, you have understood me incorrectly.;
;203;general;negate;;i think you did not get the answer right.;;;;i think you did not get the answer right.;
;204;general;negate;;thanks but i think it's incorrect command.;;;;thanks but i think it's incorrect command.;
;205;general;negate;;i am sorry but i think you did not get command right.;;;;i am sorry but i think you did not get command right.;
;206;general;negate;;oops, it was not the correct response.;;;;oops, it was not the correct response.;
;207;general;negate;;it's incorrect.;;;;it's incorrect.;
;208;general;negate;;no, you gave me not right information.;;;;no, you gave me not right information.;
;209;general;negate;;stop, i think you understood me incorrectly.;;;;stop, i think you understood me incorrectly.;
;210;general;negate;;i think you've done task all wrong.;;;;i think you've done task all wrong.;
;211;general;negate;;shit, this isn't what i am searching for.;;;;shit, this isn't what i am searching for.;
;212;general;negate;;oh no, not right.;;;;oh no, not right.;
;213;general;negate;;i think got that wrong.;;;;i think got that wrong.;
;214;general;negate;;no, incorrect.;;;;no, incorrect.;
;215;general;negate;;stop, you have me incorrectly.;;;;stop, you have me incorrectly.;
;216;general;negate;;i think this is not correct command.;;;;i think this is not correct command.;
;217;general;negate;;i am sorry but i think it's not correct response.;;;;i am sorry but i think it's not correct response.;
;218;general;negate;;sorry but i think you have messed up with command.;;;;sorry but i think you have messed up with command.;
;219;general;negate;;thanks but i think you have me not correct.;;;;thanks but i think you have me not correct.;
;220;general;negate;;oops, i think that was not right.;;;;oops, i think that was not right.;
;221;general;negate;;no, i think this was not the correct answer.;;;;no, i think this was not the correct answer.;
;222;general;negate;;no, i think it was not the correct command.;;;;no, i think it was not the correct command.;
;223;general;negate;;i am sorry but i think that is not the right response.;;;;i am sorry but i think that is not the right response.;
;224;general;negate;;you have gotten this incorrectly.;;;;you have gotten this incorrectly.;
;225;general;negate;;i think you did that in wrong manner.;;;;i think you did that in wrong manner.;
;226;general;negate;;nope, thanks.;;;;nope, thanks.;
;227;general;negate;;i think you don't get answer right.;;;;i think you don't get answer right.;
;228;general;negate;;please rectify the command.;;;;please rectify the command.;
;229;general;negate;;hmm, you don't understand what i was searching for.;;;;hmm, you don't understand what i was searching for.;
;230;general;negate;;i think you messed up with my request.;;;;i think you messed up with my request.;
;231;general;negate;;no, thanks.;;;;no, thanks.;
;232;general;negate;;hmm, you did not get what i wanted.;;;;hmm, you did not get what i wanted.;
;233;general;negate;;it seems like your response you have gotten was incorrect.;;;;it seems like your response you have gotten was incorrect.;
;234;general;negate;;shit, this was not what i am looking for.;;;;shit, this was not what i am looking for.;
;235;general;negate;;you said that wrong.;;;;you said that wrong.;
;236;general;negate;;incorrect.;;;;incorrect.;
;237;general;negate;;are you serious.;;;;are you serious.;
;238;general;negate;;i am sorry but i think that's not correct.;;;;i am sorry but i think that's not correct.;
;239;general;negate;;no, you gave me not correct information.;;;;no, you gave me not correct information.;
;240;general;negate;;i think your answer is not correct.;;;;i think your answer is not correct.;
;241;general;negate;;uhh no, you didn't interpret the request right.;;;;uhh no, you didn't interpret the request right.;
;242;general;negate;;this is not the correct answer.;;;;this is not the correct answer.;
;243;general;negate;;sorry but you have messed up with the request.;;;;sorry but you have messed up with the request.;
;244;general;negate;;sorry but it's not the right command.;;;;sorry but it's not the right command.;
;245;general;negate;;recheck last action.;;;;recheck last action.;
;246;general;negate;;oops, you're wrong.;;;;oops, you're wrong.;
;247;general;negate;;thanks but you are incorrect.;;;;thanks but you are incorrect.;
;248;general;negate;;i am sorry but i think you're incorrect.;;;;i am sorry but i think you're incorrect.;
;249;general;negate;;wait, this is not the correct answer.;;;;wait, this is not the correct answer.;
;250;general;negate;;please change that command.;;;;please change that command.;
;251;general;negate;;no, you did not get the answer correctly.;;;;no, you did not get the answer correctly.;
;252;general;negate;;you do not get what i asked.;;;;you do not get what i asked.;
;253;general;negate;;sorry but you did not instruction the request right.;;;;sorry but you did not instruction the request right.;
;254;general;negate;;no, you've done this all in wrong manner.;;;;no, you've done this all in wrong manner.;
;255;general;negate;;thanks but i think you understood me wrong.;;;;thanks but i think you understood me wrong.;
;256;general;negate;;this was not correct command.;;;;this was not correct command.;
;257;general;negate;;dammit, this isn't what i just said.;;;;dammit, this isn't what i just said.;
;258;general;negate;;dammit, you gave me wrong information.;;;;dammit, you gave me wrong information.;
;259;general;negate;;hmm, i think you have done the task wrong.;;;;hmm, i think you have done the task wrong.;
;260;general;negate;;no, i did not say it.;;;;no, i did not say it.;
;261;general;negate;;dammit, i did not say it.;;;;dammit, i did not say it.;
;262;general;negate;;not right command.;;;;not right command.;
;263;general;negate;;i think it's not the correct response.;;;;i think it's not the correct response.;
;264;general;negate;;i think it's not the correct answer.;;;;i think it's not the correct answer.;
;265;general;negate;;that wasn't what i wanted please try again.;;;;that wasn't what i wanted please try again.;
;266;general;negate;;you have messed up.;;;;you have messed up.;
;267;general;negate;;i think wrong.;;;;i think wrong.;
;268;general;negate;;nope, this was not the right response.;;;;nope, this was not the right response.;
;269;general;negate;;hmm, i think you've done it all wrongly.;;;;hmm, i think you've done it all wrongly.;
;270;general;negate;;that was not what i meant.;;;;that was not what i meant.;
;271;general;negate;;there was error.;;;;there was error.;
;272;general;negate;;shit, wrong.;;;;shit, wrong.;
;273;general;negate;;i am sorry but i think this is not the correct response.;;;;i am sorry but i think this is not the correct response.;
;274;general;negate;;no, i think you did this all in wrong manner.;;;;no, i think you did this all in wrong manner.;
;275;general;negate;;nope, i think you have made some mistake.;;;;nope, i think you have made some mistake.;
;276;general;negate;;i am sorry but you understood that wrongly.;;;;i am sorry but you understood that wrongly.;
;277;general;negate;;please double check the instructions to make sure you got it right.;;;;please double check the instructions to make sure you got it right.;
;278;general;negate;;you've done task all wrong.;;;;you've done task all wrong.;
;279;general;negate;;no, you gave me incorrect information.;;;;no, you gave me incorrect information.;
;280;general;negate;;i think you didn't get me.;;;;i think you didn't get me.;
;281;general;negate;;that is not right answer.;;;;that is not right answer.;
;282;general;negate;;i am sorry but i think that is not the right answer.;;;;i am sorry but i think that is not the right answer.;
;283;general;negate;;sorry but you have messed up the command.;;;;sorry but you have messed up the command.;
;284;general;negate;;no back up.;;;;no back up.;
;285;general;negate;;hmm, i think incorrect.;;;;hmm, i think incorrect.;
;286;general;negate;;nope, it's not the correct command.;;;;nope, it's not the correct command.;
;287;general;negate;;it seems like olly's response you've understood is incorrect.;;;;it seems like olly's response you've understood is incorrect.;
;288;general;negate;;you should not have done that.;;;;you should not have done that.;
;289;general;negate;;stop, i think it's not the correct response.;;;;stop, i think it's not the correct response.;
;290;general;negate;;sorry let me clarify with new instructions.;;;;sorry let me clarify with new instructions.;
;291;general;negate;;i think this was wrong answer.;;;;i think this was wrong answer.;
;292;general;negate;;wait, i think it's not the correct response.;;;;wait, i think it's not the correct response.;
;293;general;negate;;it was not what i am looking for.;;;;it was not what i am looking for.;
;294;general;negate;;you didn't understand what i am looking for.;;;;you didn't understand what i am looking for.;
;295;general;negate;;sorry but that is not correct answer.;;;;sorry but that is not correct answer.;
;296;general;negate;;i think wrong command.;;;;i think wrong command.;
;297;general;negate;;dammit, not correct response.;;;;dammit, not correct response.;
;298;general;negate;;please rectify that command.;;;;please rectify that command.;
;299;general;negate;;that's not what i am searching for.;;;;that's not what i am searching for.;
;300;general;negate;;uhh no, i did not say it.;;;;uhh no, i did not say it.;
;301;general;negate;;i think you don't instruction command correctly.;;;;i think you don't instruction command correctly.;
;302;general;negate;;thanks but i think it's not the correct answer.;;;;thanks but i think it's not the correct answer.;
;303;general;negate;;that is not what i am searching for.;;;;that is not what i am searching for.;
;304;general;negate;;i will speak slowly so you can find the correct answer.;;;;i will speak slowly so you can find the correct answer.;
;305;general;negate;;it's not the right answer.;;;;it's not the right answer.;
;306;general;negate;;oh no, you gave me wrong information.;;;;oh no, you gave me wrong information.;
;307;general;negate;;it seems like your command you have gotten is not right.;;;;it seems like your command you have gotten is not right.;
;308;general;negate;;it seems like your answer was not right.;;;;it seems like your answer was not right.;
;309;general;negate;;i did not say this.;;;;i did not say this.;
;310;general;negate;;no, you did not understand what i requested.;;;;no, you did not understand what i requested.;
;311;general;negate;;i am sorry but i think this was not the right command.;;;;i am sorry but i think this was not the right command.;
;312;general;negate;;are you sure.;;;;are you sure.;
;313;general;negate;;sorry but this is not the right response.;;;;sorry but this is not the right response.;
;314;general;negate;;sorry but you messed up with.;;;;sorry but you messed up with.;
;315;general;negate;;oops, i think that is not the correct response.;;;;oops, i think that is not the correct response.;
;316;general;negate;;hmm, i think you have done task all in wrong manner.;;;;hmm, i think you have done task all in wrong manner.;
;317;general;negate;;i am sorry but that is not the correct command.;;;;i am sorry but that is not the correct command.;
;318;general;negate;;nope, i think you messed up with my request.;;;;nope, i think you messed up with my request.;
;319;general;negate;;that must be a mistake.;;;;that must be a mistake.;
;320;general;negate;;thanks but i think this was not the correct command.;;;;thanks but i think this was not the correct command.;
;321;general;negate;;thanks but i think got me wrongly.;;;;thanks but i think got me wrongly.;
;322;general;negate;;you gave me not right information.;;;;you gave me not right information.;
;323;general;negate;;i needed something else.;;;;i needed something else.;
;324;general;negate;;shit, you have done all wrong.;;;;shit, you have done all wrong.;
;325;general;negate;;that's not the correct answer.;;;;that's not the correct answer.;
;326;general;negate;;i think you have done this all in wrong manner.;;;;i think you have done this all in wrong manner.;
;327;general;negate;;uhh no, that's not what i am searching for.;;;;uhh no, that's not what i am searching for.;
;328;general;negate;;no, you gave me wrong information.;;;;no, you gave me wrong information.;
;329;general;negate;;uh no, that is not what i am looking for.;;;;uh no, that is not what i am looking for.;
;330;general;negate;;i am sorry but it's not the right command.;;;;i am sorry but it's not the right command.;
;331;general;negate;;i do not think that was correct.;;;;i do not think that was correct.;
;332;general;negate;;sorry but i think you've understood that wrongly.;;;;sorry but i think you've understood that wrongly.;
;333;general;negate;;the command was wrong.;;;;the command was wrong.;
;334;general;negate;;i am sorry but this was incorrect answer.;;;;i am sorry but this was incorrect answer.;
;335;general;negate;;i am sorry but you have gotten me incorrectly.;;;;i am sorry but you have gotten me incorrectly.;
;336;general;negate;;thanks but i think you had it wrong.;;;;thanks but i think you had it wrong.;
;337;general;negate;;uh no.;;;;uh no.;
;338;general;negate;;olly's command failed.;;;;olly's command failed.;
;339;general;negate;;i said that incorrectly.;;;;i said that incorrectly.;
;340;general;negate;;that was incorrect let's try again.;;;;that was incorrect let's try again.;
;341;general;negate;;nope, incorrect command.;;;;nope, incorrect command.;
;342;general;negate;;i am sorry but i think you do not get me.;;;;i am sorry but i think you do not get me.;
;343;general;negate;;dammit, it isn't what i asked.;;;;dammit, it isn't what i asked.;
;344;general;negate;;wait, i think you're incorrect.;;;;wait, i think you're incorrect.;
;345;general;negate;;i am sorry but i think it's not the correct answer.;;;;i am sorry but i think it's not the correct answer.;
;346;general;negate;;dammit, i think incorrect response.;;;;dammit, i think incorrect response.;
;347;general;negate;;wait, i think that was not the correct response.;;;;wait, i think that was not the correct response.;
;348;general;negate;;you've understood it incorrectly.;;;;you've understood it incorrectly.;
;349;general;negate;;nope, you didn't understand what i just requested.;;;;nope, you didn't understand what i just requested.;
;350;general;negate;;uhh no, you've done task all in wrong manner.;;;;uhh no, you've done task all in wrong manner.;
;351;general;negate;;hmm, you gave me incorrect information.;;;;hmm, you gave me incorrect information.;
